day,p5,p25,p50_median,p75,p95,mean,initial_value
40,96724.86588538474,99551.29333511507,101554.04813070425,103584.19447850734,106515.3061905756,101604.82815041418,100000.0
41,96783.19163578466,99543.45807408419,101587.54674426312,103656.65884994625,106658.87759130303,101639.93208318326,100000.0
42,96785.38779367975,99547.88405251985,101634.47090099531,103735.94141970859,106798.33535100729,101685.78405392707,100000.0
43,96753.68822338828,99573.45697861744,101672.31214346728,103781.34351051509,106887.77965642128,101730.85820999341,100000.0
44,96756.69509348454,99575.96218842284,101720.55488749134,103818.8520666799,106987.93221189745,101764.59114358005,100000.0
45,96746.24560596126,99610.47304248795,101745.6373610839,103902.73167296343,107101.21543143665,101799.92860967071,100000.0
46,96677.65986805415,99577.13014267107,101808.58163782745,103955.77026783754,107207.77390423504,101840.02132706341,100000.0
47,96697.23131111123,99615.6950955844,101840.74605154055,104024.45023790386,107261.96814169842,101881.08697572193,100000.0
48,96676.52080319039,99653.39974759308,101862.62081130574,104095.40570509978,107371.41156366577,101922.3354186412,100000.0
49,96635.84918966207,99693.26897694406,101889.80663621961,104160.67622720441,107510.49181573692,101961.18864436333,100000.0
50,96594.58254253112,99679.4216997504,101951.84804200556,104220.28454101755,107602.72153375491,101998.76927342823,100000.0
51,96569.44748846939,99702.10422834913,101979.04021364963,104278.84245660485,107648.10200219412,102034.96670426808,100000.0
52,96522.87754106909,99680.851906206,102010.47935028897,104325.56376764106,107794.71597562272,102060.13638987334,100000.0
53,96454.36483131039,99681.04873371538,102028.59250600278,104384.65630238509,107892.35532544955,102095.88254357592,100000.0
54,96441.44481369488,99758.00156769528,102095.42133129912,104424.3318089165,108020.18003548933,102140.8865881978,100000.0
55,96462.12449389628,99762.75654871808,102103.62484760067,104469.94536571793,108138.32344570116,102176.16098977401,100000.0
56,96465.33552816739,99783.09153071043,102148.79409258839,104566.78742968067,108142.90727314973,102215.10241297122,100000.0
57,96460.96439244873,99768.33897535903,102158.01631637025,104622.41877201915,108256.79362845283,102252.93160403844,100000.0
58,96465.28191643994,99809.85686313442,102232.5126749854,104714.0991099262,108313.596580746,102294.74196023823,100000.0
59,96457.56545544576,99842.75441853577,102294.00620247496,104769.86921897712,108480.70101349204,102335.7792835886,100000.0
60,96483.44958174013,99827.33384153001,102310.52036153847,104852.26451179353,108543.53412604018,102382.86383078758,100000.0
61,96473.99212440774,99863.73298659144,102356.80411240576,104893.27454874603,108618.64152029644,102427.47110553914,100000.0
62,96450.29851343141,99896.54303146538,102416.53289826476,104974.54788573504,108770.19712201528,102467.07988424695,100000.0
63,96495.11741766256,99943.06911185026,102426.5876366415,105033.41268464188,108797.01084656235,102511.29978533396,100000.0
64,96482.75309935526,99963.23906138945,102490.2606487062,105101.92623092962,108872.01173523272,102551.38692290518,100000.0
65,96451.93021512312,99941.37035232948,102525.1371543862,105141.86020097058,109029.24239228845,102587.41692067952,100000.0
66,96392.3595363207,99953.53692652361,102591.7468610593,105180.49098236977,109113.8006753486,102627.71426642094,100000.0
67,96447.80863139353,99930.01555708406,102593.91042271469,105235.48513095618,109185.4313512325,102660.54650428615,100000.0
68,96440.16159806414,99934.44230342461,102641.48017532914,105251.24964948841,109330.23927929591,102704.87809994529,100000.0
69,96448.58728167812,99943.88646939557,102689.50090374451,105342.23234304409,109317.42795733991,102737.46279078929,100000.0
70,96427.1465452455,100003.4879319511,102723.45284107908,105416.58300961116,109485.99475263178,102777.40942355157,100000.0
71,96477.64404279081,100043.211002891,102752.13390637435,105488.05753929022,109571.64800843311,102822.1810823431,100000.0
72,96427.2547808103,100079.31529930401,102807.4619834139,105510.00526198828,109598.85938782884,102853.77070453222,100000.0
73,96414.23714042774,100097.92237800684,102856.63422371334,105615.97350573723,109711.91960586153,102892.62212036643,100000.0
74,96396.70450021139,100136.19299679596,102886.44236361171,105676.63070956891,109720.0607999395,102935.01597969847,100000.0
75,96360.0916989165,100162.31839711567,102931.83628710239,105750.22547904644,109860.0545263656,102983.36510965385,100000.0
76,96386.3626595258,100153.70073053405,102956.73047854297,105826.61296635981,109926.81869351641,103026.8683044975,100000.0
77,96334.47621112454,100194.80609546606,103012.47262674657,105880.2993107269,110014.53038627878,103071.19990769605,100000.0
78,96345.86937188213,100207.19697479188,103028.220037705,105912.77125399053,110233.77297325057,103108.3180856078,100000.0
79,96316.0087758,100260.326548576,103071.1507540968,105971.87147590386,110300.09675551327,103146.09969439103,100000.0
80,96337.49103597025,100260.98199544176,103096.82443490779,106012.05853616961,110248.6809154511,103189.20766895094,100000.0
81,96325.77828597248,100334.52169798706,103141.08286107099,106080.91842336392,110396.27647179097,103232.45562307863,100000.0
82,96335.24506453703,100298.39239298711,103180.91939793163,106104.20033907231,110541.30456879603,103270.3074807467,100000.0
83,96292.14894041925,100333.18712317705,103242.18693819507,106177.53967507748,110659.1941022701,103304.12594245166,100000.0
84,96318.93521056254,100354.43223631437,103296.93877322144,106261.4847660125,110713.28303673396,103350.85402262505,100000.0
85,96298.74335222074,100355.37769650642,103332.05161454053,106305.12855516496,110745.2872617874,103386.55134805643,100000.0
86,96341.3991663542,100331.11426549108,103320.98102381297,106380.61344644197,110821.54893867401,103420.18689813124,100000.0
87,96376.57929948084,100375.83117064403,103376.02599774557,106422.47592218418,110869.86579593361,103468.70665665562,100000.0
88,96378.12568120973,100411.64322793181,103418.92654635917,106504.00449607888,110943.52975553897,103516.62766935429,100000.0
89,96368.58208270812,100447.17463156745,103462.09893217887,106581.15855395043,110966.68785649033,103561.66939476441,100000.0
90,96281.2662631168,100477.47987346386,103518.38353159105,106634.65937916125,111087.30912924012,103603.56524684011,100000.0
91,96352.61805122127,100453.07905485191,103575.46252869468,106669.46081776547,111208.2031379481,103645.99953783372,100000.0
92,96348.36772775675,100502.74749743081,103607.83269688336,106733.30026907375,111285.8811834988,103691.30377672847,100000.0
93,96356.51667591129,100560.73568295238,103642.32512421187,106815.11822001296,111373.96042995166,103743.09864363943,100000.0
94,96361.77597160218,100563.8008143501,103698.53495423724,106875.55630882134,111503.12590541776,103785.90470921094,100000.0
95,96377.77169805321,100587.90460656055,103704.52800964088,106912.12600526011,111628.94087082683,103820.66833883073,100000.0
96,96401.65185792591,100631.68585714018,103742.11059174413,106958.02939948079,111717.05135969758,103860.6387999001,100000.0
97,96428.60832609043,100639.8230688879,103799.39211318034,107020.33956428157,111800.12794638085,103902.46983979244,100000.0
98,96376.53956936367,100635.57308043489,103860.19766038365,107080.21524087078,111913.92512556232,103948.16835784294,100000.0
99,96375.22517974152,100646.62061191243,103894.6386798101,107143.14608145185,112014.52850901998,103990.54685661964,100000.0
100,96355.6450727157,100684.19069664393,103945.61840072443,107164.41474129533,112039.6238275985,104026.34982169585,100000.0
101,96421.77544438174,100722.49180666736,103976.33530320914,107286.90998440866,112193.71502060522,104079.38484208178,100000.0
102,96423.88124214827,100772.35681783414,104002.03033488046,107350.33948565708,112357.19016380543,104121.02967809234,100000.0
103,96428.44680319134,100814.49871285935,104011.94403319739,107414.24924696142,112433.6910265104,104156.45046315165,100000.0
104,96368.90062313103,100826.30324596437,104062.72875129894,107469.59579692045,112524.4674158885,104193.31102240755,100000.0
105,96383.08628530783,100845.11296984086,104094.03465717347,107488.2985409187,112605.26684031112,104231.72831047283,100000.0
106,96341.76226933162,100860.65088238129,104131.1399185976,107535.53681390535,112681.26179084324,104268.34505318032,100000.0
107,96335.33584306049,100894.8445184956,104184.29260460517,107611.53580530363,112743.87085675554,104311.97722905874,100000.0
108,96305.10806056745,100885.56411771453,104177.16896798194,107697.93597291784,112885.22449466994,104340.7498062161,100000.0
109,96314.61836774886,100922.73793703265,104243.4785243884,107742.52629734634,112917.50138144374,104380.4074024977,100000.0
110,96332.82026877493,100944.042482981,104261.75539971136,107786.0787294807,113002.00626429138,104423.03859138986,100000.0
111,96300.80285415353,100950.89854087241,104271.94987856742,107822.4329965788,112997.52761970482,104456.07729157858,100000.0
112,96332.97980877846,101005.76662482807,104327.24428386637,107853.52080454402,113096.5613869154,104497.23681960609,100000.0
113,96386.34112001734,100998.88126512503,104358.7825349328,107892.38496474337,113251.34130583801,104537.28741212435,100000.0
114,96284.18716508703,101043.14784130266,104406.70204505704,107958.7105747256,113340.48936233159,104575.26829732278,100000.0
115,96299.25923764698,101057.5754850636,104464.98958790992,108039.76693759342,113359.49944279745,104615.31253226059,100000.0
116,96329.07978968778,101092.43163953784,104520.08948148423,108085.58903664752,113489.29090457833,104648.63595419857,100000.0
117,96275.83341923331,101080.56478505132,104536.59434287586,108126.70949559913,113503.00989615647,104682.7685724923,100000.0
118,96381.54350237329,101096.77893942215,104599.46112345037,108150.60488516452,113669.16650501029,104727.00547413874,100000.0
119,96226.1943338811,101100.77848141432,104663.37079340442,108171.19038483614,113726.10386047483,104758.69672534341,100000.0
120,96217.77132410546,101069.99330555575,104664.06665704725,108258.65540474319,113794.67023342433,104790.94009672618,100000.0
121,96265.10301258443,101100.19724764506,104696.74624225935,108333.71427494586,113877.54033335214,104828.42618504104,100000.0
