Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-08-11,175.73049926757812,314.26922607421875,128.49795532226562,138.41000366210938,242.64999389648438
2023-08-14,177.3811492919922,317.2356262207031,130.25344848632812,140.57000732421875,239.75999450683594
2023-08-15,175.39443969726562,315.1013488769531,128.71615600585938,137.6699981689453,232.9600067138672
2023-08-16,174.52464294433594,314.336181640625,127.6449966430664,135.07000732421875,225.60000610351562
2023-08-17,171.98439025878906,310.8828430175781,128.85501098632812,133.97999572753906,219.22000122070312
2023-08-18,172.46873474121094,310.4903869628906,126.4151840209961,133.22000122070312,215.49000549316406
2023-08-21,173.8031005859375,315.78814697265625,127.31771850585938,134.67999267578125,231.27999877929688
2023-08-22,175.1769561767578,316.3571472167969,128.02191162109375,134.25,233.19000244140625
2023-08-23,179.02191162109375,320.81121826171875,131.28494262695312,135.52000427246094,236.86000061035156
2023-08-24,174.3368377685547,313.9142761230469,128.71615600585938,131.83999633789062,230.0399932861328
2023-08-25,176.541015625,316.86737060546875,128.81536865234375,133.25999450683594,238.58999633789062
2023-08-28,178.1027069091797,317.57366943359375,129.93606567382812,133.13999938964844,238.82000732421875
2023-08-29,181.98716735839844,322.19451904296875,133.4669189453125,134.91000366210938,257.17999267578125
2023-08-30,185.4762725830078,322.5673828125,134.76617431640625,135.07000732421875,256.8999938964844
2023-08-31,185.6937255859375,321.556884765625,135.0537872314453,138.00999450683594,258.0799865722656
2023-09-01,187.26531982421875,322.4398498535156,134.54795837402344,138.1199951171875,245.00999450683594
2023-09-05,187.50254821777344,327.2372741699219,134.65707397460938,137.27000427246094,256.489990234375
2023-09-06,180.79119873046875,326.58001708984375,133.3577880859375,135.36000061035156,251.9199981689453
2023-09-07,175.50314331054688,323.6661682128906,134.15122985839844,137.85000610351562,251.49000549316406
2023-09-08,176.115966796875,327.94366455078125,135.26206970214844,138.22999572753906,248.5
2023-09-11,177.28231811523438,331.5441589355469,135.79763793945312,143.10000610351562,273.5799865722656
2023-09-12,174.25778198242188,325.490966796875,134.23057556152344,141.22999572753906,267.4800109863281
2023-09-13,172.1919708251953,329.69976806640625,135.58935546875,144.85000610351562,271.29998779296875
2023-09-14,173.7042694091797,332.28985595703125,136.96798706054688,144.72000122070312,276.0400085449219
2023-09-15,172.98269653320312,323.9703369140625,136.273681640625,140.38999938964844,274.3900146484375
2023-09-18,175.9084014892578,322.8322448730469,137.07705688476562,139.97999572753906,265.2799987792969
2023-09-19,176.99571228027344,322.4300231933594,136.90843200683594,137.6300048828125,266.5
